class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,2582.433099,2903.875229,3029.823785,3057.354937,3042.789216,3018.230157,2995.850848,2966.47016,2923.113103,2880.441144,2824.015241,2770.901472,2724.289026,2680.514286,2647.368131
skin,3544.727839,3835.579892,4091.241936,4204.522866,4245.943744,4286.659756,4311.669613,4328.495077,4342.879667,4356.56392,4346.632308,4326.438789,4296.450317,4244.919366,4192.360229
skin,3754.749781,4215.119281,4478.933305,4584.160731,4604.801714,4632.319875,4645.78905,4650.604782,4651.294456,4659.888295,4654.36305,4651.432671,4646.419677,4629.905808,4618.273507
skin,4232.946732,4652.160922,4856.293288,4850.150359,4819.710871,4795.72424,4776.091334,4749.817159,4712.941658,4679.754177,4617.503344,4557.890814,4487.300025,4395.79706,4305.717916
skin,1454.448568,1591.454947,1635.477831,1711.222996,1734.710026,1748.282264,1749.293468,1749.205015,1743.277772,1733.134859,1713.739821,1693.182119,1682.737621,1685.35718,1708.833025
skin,5175.383573,5522.782904,5720.204481,5767.846099,5764.755104,5783.23556,5795.942014,5806.048311,5819.898311,5844.791667,5855.54898,5866.391299,5867.62793,5848.85663,5823.708368
skin,3460.41929,3813.279028,4028.704509,4302.918615,4399.333011,4498.975143,4561.936992,4621.153305,4676.650555,4737.101642,4777.405775,4790.103668,4782.351982,4741.39432,4686.817027
skin,1568.196609,1716.009194,1758.711785,1852.647562,1887.177742,1917.884714,1936.722003,1956.915506,1982.425156,2211.114274,2482.208118,2716.012525,2918.362418,3101.893688,3269.594352
skin,3779.576336,4270.595688,4523.736541,4689.529046,4776.46828,4892.469062,4977.921598,5056.990155,5140.41987,5221.501281,5272.834212,5290.24827,5273.22907,5214.407022,5131.45648
skin,3326.176026,3625.3146,3746.161476,3908.303495,4060.949478,4251.342253,4391.950641,4534.008439,4692.531637,4852.214464,4994.562908,5102.283598,5172.547166,5203.332382,5212.650889
skin,3280.31094,3439.411597,3529.750348,3528.021325,3532.880622,3547.189255,3560.715154,3571.263312,3576.485224,3581.794962,3567.592686,3544.376925,3505.31542,3450.005316,3378.114864
skin,3080.599331,3068.207251,3132.221951,2984.147489,2943.788956,2916.672443,2905.080976,2892.93818,2876.33383,2862.461103,2838.456738,2812.428273,2787.054006,2756.437209,2727.863052
skin,3594.344614,3661.157741,3740.420478,3646.764669,3623.366405,3614.260929,3612.166954,3605.308239,3596.520562,3585.05054,3554.202846,3520.289607,3475.597674,3418.645847,3353.961547
skin,4171.06905,4298.018358,4454.101371,4258.973101,4202.966741,4173.525766,4172.58743,4170.942335,4174.206484,4190.146976,4199.193485,4212.434651,4221.443472,4216.490652,4206.940915
skin,4886.655041,5133.147679,5325.049431,5257.150958,5231.276031,5228.100754,5234.579241,5230.323488,5222.387708,5218.543901,5185.518137,5145.530689,5087.354786,5000.506636,4899.023189
